customer_id,segment,city,signup_date,age,gender
1,Regular,Brisbane,2022-09-03,34.0,F
2,Budget,Melbourne,2023-10-05,55.0,F
3,Regular,Brisbane,2022-04-19,33.0,M
4,Budget,Melbourne,2023-11-24,,M
5,Premium,Brisbane,2023-04-30,32.0,F
6,Regular,Brisbane,2022-03-23,35.0,F
7,Regular,Adelaide,2022-10-03,61.0,F
8,Budget,Sydney,2022-02-16,30.0,M
9,Regular,Adelaide,2022-08-05,32.0,M
10,Regular,Melbourne,2021-12-04,67.0,F
11,Premium,Sydney,2022-08-13,51.0,M
12,Regular,Brisbane,2023-11-11,27.0,F
13,Regular,Sydney,2023-10-29,63.0,F
14,Budget,Sydney,2022-02-01,27.0,M
15,Budget,Adelaide,2023-11-28,26.0,M
16,Regular,Sydney,2023-01-28,41.0,M
17,Regular,Brisbane,2023-12-18,53.0,M
18,Budget,Sydney,2023-04-03,27.0,F
19,Regular,Sydney,2022-07-15,57.0,F
20,Premium,Sydney,2023-07-30,26.0,M
21,Budget,Sydney,2022-11-08,58.0,F
22,Regular,Melbourne,2021-07-19,22.0,M
23,Budget,Melbourne,2023-10-30,42.0,M
24,Regular,Sydney,2023-11-05,51.0,F
25,Budget,Melbourne,2023-05-02,31.0,F
26,Regular,Melbourne,2021-12-18,49.0,F
27,Regular,Brisbane,2023-01-01,53.0,M
28,Regular,Adelaide,2022-06-05,51.0,F
29,Budget,Brisbane,2023-12-02,,M
30,Premium,Adelaide,2022-03-11,58.0,Other
31,Budget,Sydney,2023-11-02,56.0,F
32,Budget,Sydney,2022-04-01,34.0,F
33,Regular,Adelaide,2023-08-21,56.0,M
34,Budget,Melbourne,2021-11-20,65.0,M
35,Regular,Adelaide,2023-04-10,60.0,F
36,Regular,Melbourne,2023-07-20,56.0,M
37,Budget,Sydney,2023-03-04,57.0,F
38,Premium,Adelaide,2024-01-01,59.0,F
39,Budget,Brisbane,2023-08-06,33.0,Other
40,Regular,Adelaide,2022-07-12,55.0,M
41,Budget,Melbourne,2023-04-06,28.0,F
42,Premium,Sydney,2023-02-17,,M
43,Budget,Brisbane,2022-01-05,66.0,M
44,Budget,Sydney,2023-09-12,32.0,F
45,Regular,Brisbane,2023-01-10,61.0,M
46,Premium,Melbourne,2023-07-18,,Other
47,Premium,Adelaide,2022-10-24,28.0,F
48,Regular,Adelaide,2023-03-09,23.0,Other
49,Premium,Melbourne,2023-11-21,46.0,Other
50,Premium,Adelaide,2023-10-30,41.0,F
51,Regular,Sydney,2021-11-25,44.0,M
52,Budget,Sydney,2023-11-11,20.0,F
53,Regular,Adelaide,2022-01-27,31.0,M
54,Regular,Brisbane,2021-09-29,18.0,F
55,Budget,Melbourne,2022-11-08,33.0,F
56,Budget,Sydney,2023-03-27,66.0,F
57,Regular,Melbourne,2022-02-02,25.0,M
58,Budget,Brisbane,2021-07-31,53.0,M
59,Premium,Adelaide,2023-09-15,18.0,M
60,Budget,Adelaide,2021-08-17,47.0,M
61,Budget,Melbourne,2021-09-04,65.0,M
62,Regular,Melbourne,2023-08-26,35.0,M
63,Budget,Sydney,2023-11-13,28.0,M
64,Budget,Sydney,2022-03-29,47.0,F
65,Regular,Melbourne,2023-10-24,32.0,M
66,Premium,Brisbane,2022-07-10,64.0,F
67,Budget,Sydney,2023-11-04,62.0,M
68,Budget,Melbourne,2022-04-20,51.0,F
69,Regular,Brisbane,2023-06-07,51.0,M
70,Premium,Adelaide,2023-10-07,49.0,F
71,Regular,Adelaide,2023-11-03,56.0,F
72,Budget,Melbourne,2023-07-16,41.0,F
73,Budget,Melbourne,2022-09-02,68.0,M
74,Budget,Adelaide,2023-10-25,35.0,F
75,Budget,Brisbane,2022-01-09,18.0,M
76,Regular,Melbourne,2022-07-07,54.0,M
77,Budget,Brisbane,2023-04-09,52.0,M
78,Regular,Sydney,2021-07-28,69.0,F
79,Regular,Melbourne,2022-05-19,38.0,M
80,Regular,Melbourne,2022-05-07,40.0,F
81,Budget,Adelaide,2023-07-29,47.0,M
82,Regular,Sydney,2022-04-02,38.0,M
83,Regular,Adelaide,2022-08-16,58.0,M
84,Regular,Melbourne,2021-07-29,40.0,M
85,Budget,Sydney,2022-10-28,58.0,F
86,Budget,Brisbane,2022-05-01,40.0,F
87,Premium,Brisbane,2023-02-28,29.0,F
88,Budget,Sydney,2023-11-26,69.0,M
89,Budget,Sydney,2023-09-08,45.0,M
90,Regular,Sydney,2021-11-12,54.0,F
91,Regular,Melbourne,2022-03-08,48.0,M
92,Premium,Sydney,2023-02-07,36.0,M
93,Budget,Brisbane,2022-04-13,68.0,F
94,Premium,Sydney,2023-12-29,37.0,M
95,Budget,Adelaide,2023-11-29,69.0,M
96,Regular,Adelaide,2022-10-02,40.0,M
97,Regular,Brisbane,2022-06-18,19.0,F
98,Budget,Adelaide,2021-09-10,19.0,M
99,Budget,Adelaide,2022-02-17,,F
100,Regular,Sydney,2023-05-15,,M
101,Premium,Melbourne,2021-12-29,38.0,M
102,Regular,Adelaide,2022-10-16,60.0,M
103,Premium,Melbourne,2021-12-19,50.0,F
104,Regular,Brisbane,2023-07-29,52.0,M
105,Regular,Adelaide,2023-12-09,53.0,F
106,Regular,Adelaide,2023-11-11,28.0,M
107,Budget,Melbourne,2021-07-24,22.0,M
108,Budget,Melbourne,2023-10-21,55.0,M
109,Regular,Sydney,2021-09-08,19.0,F
110,Regular,Melbourne,2022-03-18,55.0,M
111,Budget,Melbourne,2023-08-23,,F
112,Regular,Melbourne,2021-11-15,31.0,F
113,Regular,Melbourne,2023-08-25,54.0,F
114,Premium,Adelaide,2023-08-26,50.0,F
115,Regular,Adelaide,2022-08-02,58.0,F
116,Regular,Brisbane,2023-04-17,49.0,F
117,Budget,Sydney,2023-04-15,20.0,M
118,Regular,Melbourne,2023-07-10,61.0,F
119,Regular,Brisbane,2022-07-04,29.0,F
120,Premium,Sydney,2023-12-08,25.0,M
121,Regular,Melbourne,2023-05-26,63.0,F
122,Budget,Brisbane,2022-08-21,28.0,F
123,Budget,Adelaide,2022-10-21,45.0,M
124,Regular,Adelaide,2022-04-12,43.0,F
125,Regular,Melbourne,2023-06-21,58.0,M
126,Budget,Melbourne,2022-05-28,20.0,M
127,Budget,Melbourne,2022-02-17,,M
128,Regular,Brisbane,2023-01-17,39.0,F
129,Budget,Melbourne,2023-05-15,42.0,M
130,Regular,Melbourne,2022-08-20,58.0,F
131,Budget,Sydney,2022-07-30,49.0,M
132,Budget,Melbourne,2023-10-09,25.0,M
