customer_id,last_purchase_date,recency_days,frequency,monetary,avg_basket_value,n_transactions,segment,city
1,2025-12-28,3,69,915881.41,12899.74,71,Regular,Brisbane
2,2025-12-20,11,80,902529.44,10744.4,84,Budget,Melbourne
3,2025-12-08,23,64,487457.08,7385.71,66,Regular,Brisbane
4,2025-12-18,13,74,1027434.08,13343.3,77,Budget,Melbourne
5,2025-12-16,15,63,384636.82,5827.83,66,Premium,Brisbane
6,2025-12-22,9,62,668308.18,10608.07,63,Regular,Brisbane
7,2025-12-24,7,80,823445.27,9921.03,83,Regular,Adelaide
8,2025-12-26,5,61,763084.5,12307.81,62,Budget,Sydney
9,2025-12-31,0,70,1141649.31,16079.57,71,Regular,Adelaide
10,2025-12-30,1,79,965459.61,11632.04,83,Regular,Melbourne
11,2025-12-26,5,56,539978.22,9473.3,57,Premium,Sydney
12,2025-12-22,9,72,601407.97,7810.49,77,Regular,Brisbane
13,2025-12-25,6,85,678980.55,7715.69,88,Regular,Sydney
14,2025-12-27,4,79,791405.77,9651.29,82,Budget,Sydney
15,2025-12-20,11,64,730513.79,10903.19,67,Budget,Adelaide
16,2025-11-22,39,62,635899.49,9935.93,64,Regular,Sydney
17,2025-12-25,6,51,244419.57,4526.29,54,Regular,Brisbane
18,2025-12-18,13,64,408361.21,6380.64,64,Budget,Sydney
19,2025-12-14,17,64,623392.82,9445.35,66,Regular,Sydney
20,2025-12-22,9,67,768318.93,10821.39,71,Premium,Sydney
21,2025-12-22,9,70,707686.69,9563.33,74,Budget,Sydney
22,2025-11-27,34,56,521247.62,8687.46,60,Regular,Melbourne
23,2025-12-29,2,68,859037.13,11931.07,72,Budget,Melbourne
24,2025-12-21,10,56,803243.72,14343.64,56,Regular,Sydney
25,2025-12-21,10,86,1022498.36,11361.09,90,Budget,Melbourne
26,2025-12-22,9,65,992269.52,15034.39,66,Regular,Melbourne
27,2025-12-29,2,47,657886.26,13426.25,49,Regular,Brisbane
28,2025-12-23,8,67,686667.78,10098.06,68,Regular,Adelaide
29,2025-12-23,8,69,407251.09,5503.39,74,Budget,Brisbane
30,2025-12-03,28,84,969310.55,10891.13,89,Premium,Adelaide
31,2025-12-23,8,69,475472.59,6696.8,71,Budget,Sydney
32,2025-11-24,37,62,547823.65,8559.74,64,Budget,Sydney
33,2025-12-20,11,61,613088.59,9579.51,64,Regular,Adelaide
34,2025-12-05,26,60,722774.08,11657.65,62,Budget,Melbourne
35,2025-11-27,34,76,795813.55,10335.24,77,Regular,Adelaide
36,2025-12-31,0,71,944302.67,12590.7,75,Regular,Melbourne
