date,city,temp_celsius,rainfall_mm,is_rainy
2024-01-01,Sydney,14.4,0.0,False
2024-01-02,Sydney,19.0,15.4,True
2024-01-03,Sydney,18.2,0.0,False
2024-01-04,Sydney,17.0,0.0,False
2024-01-05,Sydney,17.6,0.0,False
2024-01-06,Sydney,19.9,0.0,False
2024-01-07,Sydney,21.1,0.0,False
2024-01-08,Sydney,16.5,0.0,False
2024-01-09,Sydney,15.7,0.0,False
2024-01-10,Sydney,18.5,0.0,False
2024-01-11,Sydney,19.9,0.0,False
2024-01-12,Sydney,20.4,0.0,False
2024-01-13,Sydney,20.1,0.0,False
2024-01-14,Sydney,22.9,0.0,False
2024-01-15,Sydney,15.9,0.0,False
2024-01-16,Sydney,19.3,,False
2024-01-17,Sydney,24.7,0.0,False
2024-01-18,Sydney,18.8,0.0,False
2024-01-19,Sydney,23.1,0.0,False
2024-01-20,Sydney,18.1,0.0,False
2024-01-21,Sydney,21.1,0.0,False
2024-01-22,Sydney,23.9,0.0,False
2024-01-23,Sydney,21.1,0.0,False
2024-01-24,Sydney,19.5,0.0,False
2024-01-25,Sydney,19.7,0.0,False
2024-01-26,Sydney,19.9,0.0,False
2024-01-27,Sydney,20.5,0.0,False
2024-01-28,Sydney,26.1,0.0,False
2024-01-29,Sydney,18.7,0.0,False
2024-01-30,Sydney,22.6,9.4,True
2024-01-31,Sydney,21.7,0.0,False
2024-02-01,Sydney,24.2,0.0,False
2024-02-02,Sydney,22.5,0.0,False
2024-02-03,Sydney,23.3,0.0,False
2024-02-04,Sydney,22.2,0.0,False
2024-02-05,Sydney,25.3,0.0,False
2024-02-06,Sydney,25.7,0.0,False
2024-02-07,Sydney,24.5,0.0,False
2024-02-08,Sydney,26.1,0.0,False
2024-02-09,Sydney,30.1,0.0,False
2024-02-10,Sydney,25.5,0.0,False
2024-02-11,Sydney,23.7,0.0,False
2024-02-12,Sydney,24.9,0.0,False
2024-02-13,Sydney,27.2,0.0,False
2024-02-14,Sydney,23.3,0.0,False
2024-02-15,Sydney,21.3,0.0,False
2024-02-16,Sydney,23.4,0.0,False
2024-02-17,Sydney,25.6,0.0,False
2024-02-18,Sydney,24.8,15.5,True
2024-02-19,Sydney,29.6,0.0,False
2024-02-20,Sydney,28.3,0.0,False
2024-02-21,Sydney,24.6,0.0,False
2024-02-22,Sydney,25.9,0.0,False
2024-02-23,Sydney,25.5,47.0,True
2024-02-24,Sydney,25.3,0.0,False
2024-02-25,Sydney,31.6,0.0,False
2024-02-26,Sydney,27.7,0.0,False
2024-02-27,Sydney,25.1,0.0,False
2024-02-28,Sydney,28.5,0.0,False
2024-02-29,Sydney,27.5,0.0,False
2024-03-01,Sydney,30.3,0.0,False
2024-03-02,Sydney,26.0,0.0,False
2024-03-03,Sydney,28.8,0.0,False
2024-03-04,Sydney,23.8,,False
2024-03-05,Sydney,28.0,0.0,False
2024-03-06,Sydney,25.1,0.0,False
2024-03-07,Sydney,28.6,0.0,False
2024-03-08,Sydney,29.3,0.0,False
2024-03-09,Sydney,29.7,0.0,False
2024-03-10,Sydney,27.3,0.0,False
2024-03-11,Sydney,29.1,0.0,False
2024-03-12,Sydney,31.9,0.0,False
2024-03-13,Sydney,33.5,0.0,False
2024-03-14,Sydney,29.7,0.0,False
2024-03-15,Sydney,32.4,0.0,False
2024-03-16,Sydney,27.5,0.0,False
2024-03-17,Sydney,28.9,0.0,False
2024-03-18,Sydney,30.7,0.0,False
2024-03-19,Sydney,29.9,0.0,False
2024-03-20,Sydney,29.8,0.0,False
2024-03-21,Sydney,33.1,0.0,False
2024-03-22,Sydney,28.1,0.0,False
2024-03-23,Sydney,28.5,0.0,False
2024-03-24,Sydney,27.7,0.9,True
2024-03-25,Sydney,33.1,0.0,False
2024-03-26,Sydney,29.0,0.0,False
2024-03-27,Sydney,30.1,0.0,False
2024-03-28,Sydney,27.8,0.0,False
2024-03-29,Sydney,34.3,0.0,False
2024-03-30,Sydney,34.0,0.0,False
2024-03-31,Sydney,30.7,0.0,False
2024-04-01,Sydney,36.6,0.0,False
2024-04-02,Sydney,34.1,0.0,False
2024-04-03,Sydney,30.7,0.0,False
2024-04-04,Sydney,33.0,0.0,False
2024-04-05,Sydney,31.7,0.0,False
2024-04-06,Sydney,34.3,0.0,False
2024-04-07,Sydney,33.4,0.0,False
2024-04-08,Sydney,35.2,0.0,False
2024-04-09,Sydney,37.2,0.0,False
2024-04-10,Sydney,35.2,0.0,False
2024-04-11,Sydney,31.1,0.0,False
2024-04-12,Sydney,33.9,0.0,False
2024-04-13,Sydney,35.1,0.0,False
2024-04-14,Sydney,35.4,0.0,False
2024-04-15,Sydney,32.1,0.0,False
2024-04-16,Sydney,33.9,0.0,False
2024-04-17,Sydney,35.9,0.0,False
2024-04-18,Sydney,31.6,0.0,False
2024-04-19,Sydney,33.7,0.0,False
2024-04-20,Sydney,36.9,0.0,False
2024-04-21,Sydney,38.3,0.0,False
2024-04-22,Sydney,34.6,0.0,False
2024-04-23,Sydney,30.7,0.0,False
2024-04-24,Sydney,34.3,1.5,True
2024-04-25,Sydney,32.1,0.0,False
2024-04-26,Sydney,39.2,0.0,False
2024-04-27,Sydney,34.0,0.0,False
2024-04-28,Sydney,38.2,0.0,False
2024-04-29,Sydney,31.9,0.0,False
2024-04-30,Sydney,38.1,0.0,False
2024-05-01,Sydney,32.8,0.0,False
2024-05-02,Sydney,36.3,0.0,False
