,0
revenue_roll_mean_28,46646.77602495668
revenue_roll_mean_7,43695.86418118939
revenue_lag_14,8916.23970203716
revenue_lag_1,7849.838876992132
is_festive_window,7473.397816062878
dow,6271.420804854595
units_roll_mean_7,5434.986675731615
revenue_lag_28,4052.8232997289992
revenue_lag_7,2587.9111480154506
is_holiday,1728.021186654144
store_id,1496.9715254353594
doy_sin,1373.5542393400708
temp_celsius,667.9791297421724
doy_cos,647.2904655658091
is_weekend,628.8235399019396
month,614.3388700086446
revenue_roll_std_7,608.8878355307211
avg_discount_pct,315.71811507047295
city_tier,197.585428955053
rainfall_mm,103.20831091370727
had_promo,12.231102317642014
is_weather_sensitive_cat,0.0
hot_day_x_sensitive,0.0
